As on Sat| Nov 04 2017| 14:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
UK Pound Sterling (GBP),GBP,HKD,10.2005
UK Pound Sterling (GBP),GBP,HUF,351.6376
UK Pound Sterling (GBP),GBP,ISK,139.0734
UK Pound Sterling (GBP),GBP,XDR,0.9318
UK Pound Sterling (GBP),GBP,INR,84.4212
UK Pound Sterling (GBP),GBP,IDR,17651.7793
UK Pound Sterling (GBP),GBP,IRR,45722.6939
UK Pound Sterling (GBP),GBP,IQD,1525.4017
UK Pound Sterling (GBP),GBP,ILS,4.5955
UK Pound Sterling (GBP),GBP,JMD,165.2752
UK Pound Sterling (GBP),GBP,JOD,0.9273
UK Pound Sterling (GBP),GBP,KES,135.7357
UK Pound Sterling (GBP),GBP,KWD,0.3958
UK Pound Sterling (GBP),GBP,LBP,1972.3622
UK Pound Sterling (GBP),GBP,MYR,5.5389
UK Pound Sterling (GBP),GBP,MUR,45.3443
UK Pound Sterling (GBP),GBP,MXN,25.2034
UK Pound Sterling (GBP),GBP,MAD,12.4518
UK Pound Sterling (GBP),GBP,NZD,1.8933
UK Pound Sterling (GBP),GBP,NOK,10.6901
UK Pound Sterling (GBP),GBP,OMR,0.5032
UK Pound Sterling (GBP),GBP,PEN,4.2735
UK Pound Sterling (GBP),GBP,PHP,67.0771
UK Pound Sterling (GBP),GBP,PLN,4.7831
UK Pound Sterling (GBP),GBP,QAR,4.7611
UK Pound Sterling (GBP),GBP,RON,5.1618
UK Pound Sterling (GBP),GBP,RUB,77.3188
UK Pound Sterling (GBP),GBP,SAR,4.92
UK Pound Sterling (GBP),GBP,SGD,1.7847
UK Pound Sterling (GBP),GBP,SKK,1.3077
UK Pound Sterling (GBP),GBP,ZAR,18.6301
UK Pound Sterling (GBP),GBP,KRW,1458.3114
UK Pound Sterling (GBP),GBP,LKR,200.8633
UK Pound Sterling (GBP),GBP,SDG,8.726
UK Pound Sterling (GBP),GBP,SEK,11.049
UK Pound Sterling (GBP),GBP,CHF,1.3087
UK Pound Sterling (GBP),GBP,TWD,39.4877
UK Pound Sterling (GBP),GBP,THB,43.4714
UK Pound Sterling (GBP),GBP,TTD,8.7731
UK Pound Sterling (GBP),GBP,TND,3.2693
